image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees
20160316_144105_641_361,20,18,1,1068,1092,1262.24,0.01426,0.015845,14.77,60.39,9.3728,21595,20.29
20160316_144105_641_721,13,9,4,820,831,967.69,0.0093,0.013434,7.38,25.18,4.3789,10089,22.46
20160316_144203_1281_721,10,13,3,1285,1308,1501.02,0.008661,0.006662,24.56,81.5,19.0321,43850,11.92
20160316_144203_1921_721,4,11,1,1170,1184,1373.3,0.00801,0.002913,19.44,73.1,15.6372,36028,169.19
20160316_144203_1_361,4,6,2,789,794,909.57,0.006597,0.004398,19.1,54.73,11.4405,26359,169.24
20160316_144203_641_361,10,8,1,907,920,1051.72,0.007607,0.009508,18.93,57.55,11.7487,27069,4.46
20160316_144203_641_721,4,3,2,516,517,577.89,0.005191,0.006922,19.62,48.36,8.3446,19226,16.87
20160316_144212_1281_361,3,1,1,237,239,270.07,0.003703,0.011108,19.38,57.12,2.3802,5484,165.49
20160316_144212_1281_721,9,5,3,945,944,1063.71,0.004701,0.008461,19.29,80.76,11.8598,27325,167.78
20160316_144212_1921_361,7,5,1,753,759,856.75,0.005836,0.00817,17.93,57.12,9.8911,22789,166.12
20160316_144212_1921_721,3,1,1,111,111,122.18,0.008184,0.024553,16.95,45.96,1.4575,3358,103.09
20160316_144212_1_361,3,3,1,177,190,228.11,0.013152,0.013152,13.32,35.15,1.6198,3732,32.94
20160316_144212_1_721,7,5,2,682,689,760.66,0.006573,0.009203,15.66,45.94,8.6293,19882,175.48
20160316_144212_641_361,1,1,3,315,312,338.1,0.002958,0.002958,14.82,41.18,1.7847,4112,2.69
20160316_144212_641_721,11,12,3,990,1003,1137.62,0.010548,0.009669,14.25,50.0,8.5647,19733,8.73
20160316_183217_1281_1,1,1,1,419,419,502.67,0.001989,0.001989,21.33,66.39,6.8303,15737,59.81
20160316_183217_1281_1081,1,2,1,734,736,818.84,0.002442,0.001221,12.28,50.0,5.776,13308,60.66
20160316_183217_1281_361,2,0,1,326,325,370.98,0.0,0.005391,28.8,90.38,8.6576,19947,98.63
20160316_183217_1281_721,3,3,1,537,540,637.34,0.004707,0.004707,10.93,30.79,4.0464,9323,68.18
20160318_181602_1281_361,16,10,3,975,984,1145.54,0.008729,0.013967,14.96,48.0,11.0135,25375,174.72
20160318_181602_1921_361,12,10,5,829,834,953.29,0.01049,0.012588,13.64,43.18,7.9865,18401,6.98
20160318_181602_1_1081,2,0,1,66,65,79.91,0.0,0.025028,19.25,48.0,1.3819,3184,179.94
20160318_181602_1_721,5,6,2,883,902,1051.95,0.005704,0.004753,13.78,45.15,9.1567,21097,151.78
20160318_181602_641_361,15,12,3,926,938,1078.83,0.011123,0.013904,16.51,47.94,10.4852,24158,158.25
20160318_181602_641_721,2,1,1,51,52,61.53,0.016253,0.032506,13.79,30.76,0.5252,1210,153.52
20160318_181627_1281_361,6,4,2,797,799,895.93,0.004465,0.006697,14.67,50.0,8.6845,20009,7.74
20160318_181627_1281_721,6,7,1,863,873,1013.42,0.006907,0.005921,18.47,55.53,12.0512,27766,153.64
20160318_181627_1921_361,12,12,1,896,912,1031.29,0.011636,0.011636,20.3,53.59,12.7756,29435,164.23
20160318_181627_1921_721,1,0,1,63,62,71.94,0.0,0.0139,25.38,68.71,0.612,1410,107.91
20160318_181627_1_1,1,0,1,164,163,180.81,0.0,0.005531,15.24,52.0,1.7292,3984,2.53
20160318_181627_1_361,5,3,2,708,712,832.12,0.003605,0.006009,14.12,47.56,7.829,18038,26.38
20160318_181627_1_721,8,6,1,804,808,897.06,0.006689,0.008918,12.79,37.95,7.4414,17145,2.42
20160318_181627_641_361,9,9,2,1067,1075,1244.41,0.007232,0.007232,14.63,52.33,10.7656,24804,160.17
20160318_181627_641_721,8,6,2,818,824,935.42,0.006414,0.008552,18.34,55.53,10.9996,25343,14.93
20160321_183951_1281_1,5,3,1,390,394,445.36,0.006736,0.011227,14.11,42.0,4.4232,10191,92.18
20160321_183951_1281_1081,2,1,1,423,422,471.71,0.00212,0.00424,23.07,58.33,7.5838,17473,88.56
20160321_183951_1281_361,6,3,3,560,560,634.97,0.004725,0.009449,24.96,90.0,6.1029,14061,27.51
20160321_183951_1281_721,9,7,1,1078,1087,1218.31,0.005746,0.007387,37.26,120.63,25.7131,59243,165.37
20160321_183951_1921_361,6,5,1,762,764,836.9,0.005974,0.007169,47.55,151.39,13.355,30770,178.02
20160321_183951_1921_721,6,5,1,763,766,848.84,0.00589,0.007068,57.19,179.18,15.4614,35623,178.39
20160321_183951_1_361,2,0,1,644,643,698.5,0.0,0.002863,38.44,92.27,22.1372,51004,179.35
20160321_183951_641_361,7,3,2,742,745,834.88,0.003593,0.008384,40.32,106.0,22.9119,52789,175.67
20160321_185457_1281_1,2,1,1,374,374,443.17,0.002256,0.004513,23.03,80.0,6.4592,14882,145.62
20160321_185457_1281_1081,2,1,1,63,64,72.7,0.013755,0.027511,14.58,38.0,0.5056,1165,113.55
20160321_185457_1281_361,10,9,1,1003,1028,1217.71,0.007391,0.008212,33.4,103.48,20.4405,47095,168.17
20160321_185457_1281_721,6,9,2,1093,1100,1297.99,0.006934,0.004623,21.96,69.91,16.4592,37922,7.12
20160321_185457_1921_1,7,4,3,559,562,658.1,0.006078,0.010637,20.96,63.18,9.9701,22971,177.28
20160321_185457_1921_1081,7,7,1,623,636,755.29,0.009268,0.009268,34.04,81.2,14.1037,32495,77.33
20160321_185457_1921_721,0,0,1,184,183,219.87,0.0,0.0,34.43,90.29,4.128,9511,60.12
20160321_185457_1_361,10,8,4,610,622,699.87,0.011431,0.014288,12.2,42.0,4.5286,10434,0.55
20160321_185457_1_721,5,5,1,527,529,591.55,0.008452,0.008452,14.83,45.97,4.0482,9327,179.96
20160321_185457_641_361,4,3,1,742,746,871.09,0.003444,0.004592,16.43,61.51,7.3008,16821,173.54
20160321_185457_641_721,7,7,2,448,453,516.37,0.013556,0.013556,18.46,52.0,4.5408,10462,17.78
20160321_185518_1281_1,8,5,2,392,405,472.93,0.010572,0.016916,13.16,40.75,3.8438,8856,59.49
20160321_185518_1281_361,9,11,2,956,971,1140.0,0.009649,0.007895,16.24,47.97,11.1385,25663,10.53
20160321_185518_1281_721,2,0,1,100,99,106.46,0.0,0.018787,12.32,28.0,0.9566,2204,81.76
20160321_185518_1921_1,3,5,1,421,429,498.59,0.010028,0.006017,18.44,52.0,6.0825,14014,109.51
20160321_185518_1921_1081,4,2,1,394,395,455.89,0.004387,0.008774,31.43,79.99,11.0959,25565,103.39
20160321_185518_1921_361,4,0,2,403,401,475.97,0.0,0.008404,17.96,44.0,6.6345,15286,111.24
20160321_185518_1921_721,3,2,2,486,487,574.4,0.003482,0.005223,26.68,76.0,9.4054,21670,63.82
20160321_185518_1_1081,9,3,7,437,433,495.13,0.006059,0.018177,7.14,29.98,1.7895,4123,84.17
20160321_185518_1_361,9,8,1,821,830,942.25,0.00849,0.009552,16.17,61.17,9.6957,22339,7.93
20160321_185518_1_721,5,4,1,410,417,473.75,0.008443,0.010554,7.44,23.97,1.8229,4200,105.83
20160321_185518_641_1,6,4,2,417,421,454.14,0.008808,0.013212,17.25,46.0,5.5729,12840,93.37
20160321_185518_641_361,10,7,3,1062,1069,1242.97,0.005632,0.008045,18.47,58.73,13.4049,30885,161.5
20160321_185534_1281_1081,2,1,3,355,353,399.39,0.002504,0.005008,11.63,43.15,2.3646,5448,72.17
20160321_185534_1281_361,11,12,3,844,867,986.29,0.012167,0.011153,11.63,39.54,5.5165,12710,21.21
20160321_185534_1281_721,4,2,2,716,715,806.54,0.00248,0.004959,15.83,64.0,6.9536,16021,165.69
20160321_185534_1921_361,0,0,1,279,278,300.37,0.0,0.0,11.58,30.0,1.5091,3477,2.62
20160321_185534_1921_721,5,3,4,640,641,722.19,0.004154,0.006923,13.12,51.18,5.2361,12064,3.33
20160321_185534_641_1,5,5,1,529,540,610.83,0.008186,0.008186,16.69,53.93,5.6628,13047,80.17
20160321_185534_641_1081,2,1,2,208,208,230.37,0.004341,0.008682,15.08,47.58,1.4796,3409,82.6
20160321_185534_641_361,10,8,1,843,849,975.34,0.008202,0.010253,14.89,57.12,9.2418,21293,156.76
20160321_185534_641_721,4,3,1,527,529,627.17,0.004783,0.006378,14.32,40.75,6.105,14066,53.08
20160321_185637_1281_1,1,0,1,163,162,195.14,0.0,0.005125,31.58,76.0,3.2283,7438,145.17
20160321_185637_1281_1081,3,2,1,500,501,607.87,0.00329,0.004935,18.57,55.54,8.0933,18647,46.79
20160321_185637_1281_361,1,3,1,630,632,750.88,0.003995,0.001332,20.9,63.93,9.8442,22681,136.26
20160321_185637_1281_721,3,1,2,295,295,350.09,0.002856,0.008569,23.12,62.0,5.0326,11595,110.32
20160321_185637_1921_1,7,8,1,675,691,820.65,0.009748,0.00853,22.72,72.0,9.9905,23018,145.39
20160321_185637_1_1,9,8,1,572,587,657.83,0.012161,0.013681,14.55,48.0,5.4505,12558,72.23
20160321_185637_1_1081,8,8,2,787,798,905.7,0.008833,0.008833,25.97,70.0,14.4423,33275,172.82
20160321_185637_1_721,4,4,1,202,207,245.94,0.016264,0.016264,21.85,53.54,2.5673,5915,168.83
20160321_185637_641_721,5,5,1,870,873,1037.03,0.004821,0.004821,21.73,65.18,15.4214,35531,167.03
20160324_165857_1281_361,3,2,2,683,683,771.23,0.002593,0.00389,13.0,39.58,6.6133,15237,16.13
20160324_165857_1281_721,1,0,1,119,118,126.28,0.0,0.007919,18.56,47.94,0.8468,1951,3.82
20160324_165857_1921_721,10,8,1,796,806,900.03,0.008889,0.011111,17.73,53.59,9.987,23010,5.23
20160324_165857_1_361,5,3,2,213,215,252.28,0.011892,0.019819,14.09,38.0,1.658,3820,160.23
20160324_165857_1_721,8,4,3,654,655,749.85,0.005334,0.010669,14.01,50.74,6.7387,15526,158.66
20160324_165857_641_361,7,5,2,720,720,810.3,0.006171,0.008639,15.19,46.0,8.3615,19265,173.33
20160324_170309_1281_1,3,1,1,388,388,437.29,0.002287,0.00686,15.92,45.14,5.1115,11777,69.37
20160324_170309_1281_1081,2,3,1,405,408,478.42,0.006271,0.00418,17.04,50.4,5.4444,12544,96.51
20160324_170309_1281_361,5,4,1,462,468,534.69,0.007481,0.009351,17.34,74.31,5.1714,11915,66.18
20160324_170309_1281_721,4,5,1,490,496,567.66,0.008808,0.007046,19.28,63.51,6.1823,14244,92.04
20160324_170309_641_1,4,2,1,414,419,493.56,0.004052,0.008104,9.25,25.97,3.2144,7406,58.87
20160324_170309_641_1081,6,4,1,411,416,476.06,0.008402,0.012603,17.9,62.38,4.9583,11424,90.21
20160324_170309_641_361,8,6,1,427,434,490.33,0.012237,0.016315,10.09,29.16,3.2109,7398,99.1
20160324_170309_641_721,4,4,1,422,424,472.88,0.008459,0.008459,13.78,39.54,4.2444,9779,85.16
20160324_170323_1281_721,3,2,1,670,671,779.52,0.002566,0.003849,26.62,84.79,15.2014,35024,2.9
20160324_170323_1921_361,4,3,2,414,415,478.79,0.006266,0.008354,13.47,39.98,3.8142,8788,133.13
20160324_170323_1921_721,5,4,2,562,564,629.86,0.006351,0.007938,27.31,71.51,11.3585,26170,172.89
20160324_170323_1_721,10,8,1,722,733,811.29,0.009861,0.012326,14.8,59.12,7.4952,17269,173.42
20160324_170323_641_361,3,2,4,565,564,607.91,0.00329,0.004935,14.19,50.33,3.2174,7413,179.71
20160324_170323_641_721,6,3,3,613,617,665.05,0.004511,0.009022,32.0,96.0,9.0799,20920,0.43
20160324_170408_1281_361,3,2,1,365,367,417.95,0.004785,0.007178,14.33,49.54,2.8559,6580,4.22
20160324_170408_1281_721,5,6,3,568,573,644.24,0.009313,0.007761,8.3,30.0,2.7726,6388,1.51
20160324_170408_1921_721,20,21,1,875,902,1023.36,0.020521,0.019543,10.92,32.39,6.102,14059,7.07
20160324_170408_1_361,5,3,2,622,623,702.53,0.00427,0.007117,12.09,42.79,5.1029,11757,175.65
20160324_170408_1_721,3,2,1,218,219,244.27,0.008188,0.012282,16.54,52.36,1.5464,3563,2.58
20160324_170408_641_361,11,9,1,766,777,869.78,0.010347,0.012647,14.91,49.18,8.0664,18585,177.44
20160324_170542_1281_361,27,21,3,954,974,1124.36,0.018677,0.024014,11.05,32.0,6.8438,15768,167.21
20160324_170542_1921_361,9,5,3,343,347,407.06,0.012283,0.02211,12.47,39.54,2.5082,5779,22.46
20160324_170542_1921_721,15,12,2,672,683,797.32,0.01505,0.018813,11.66,32.76,4.9753,11463,40.46
20160324_170542_1_361,13,10,3,586,598,675.46,0.014805,0.019246,10.64,33.56,4.2513,9795,170.29
20160324_170542_1_721,4,2,1,252,255,295.18,0.006776,0.013551,9.03,28.0,1.6076,3704,151.99
20160324_170542_641_361,12,11,1,809,818,933.15,0.011788,0.01286,12.45,34.0,7.1567,16489,5.02
20160324_170655_1281_361,4,2,1,677,678,750.49,0.002665,0.00533,23.01,65.91,12.7799,29445,169.08
20160324_170655_1921_361,15,14,1,1194,1208,1396.88,0.010022,0.010738,22.01,76.69,16.3429,37654,10.6
20160324_170655_1_361,1,0,1,267,266,281.74,0.0,0.003549,22.63,84.0,2.1645,4987,176.6
20160324_170655_1_721,4,2,2,747,748,842.44,0.002374,0.004748,40.6,148.0,18.7925,43298,159.18
20160324_170655_641_361,6,5,1,732,735,832.34,0.006007,0.007209,23.13,86.0,13.0473,30061,171.4
20160324_173501_1281_721,6,4,2,778,779,863.5,0.004632,0.006948,12.85,36.79,7.7361,17824,1.81
20160324_173501_1921_361,2,1,1,121,122,131.11,0.007627,0.015254,16.65,45.94,0.7643,1761,3.65
20160324_173501_1921_721,9,4,3,917,917,1049.13,0.003813,0.008579,13.42,52.0,8.7027,20051,168.03
20160324_173501_1_721,3,2,1,668,670,757.81,0.002639,0.003959,13.93,36.76,7.4583,17184,12.17
20160324_173501_641_721,10,12,1,863,875,998.44,0.012019,0.010016,14.77,49.97,8.6155,19850,170.61
20160324_173527_1281_721,9,8,2,862,867,973.87,0.008215,0.009242,22.09,59.19,13.6584,31469,178.65
20160324_173527_1921_361,3,2,1,478,480,563.26,0.003551,0.005326,20.06,58.37,7.9384,18290,150.21
20160324_173527_1921_721,5,5,1,385,390,455.03,0.010988,0.010988,24.11,68.0,5.2687,12139,170.04
20160324_173527_1_361,11,10,1,866,875,989.32,0.010108,0.011119,19.2,56.73,11.6884,26930,174.29
20160324_173527_641_361,4,4,1,538,543,602.65,0.006637,0.006637,19.25,54.0,5.9271,13656,15.89
20160324_173527_641_721,6,5,1,511,517,588.66,0.008494,0.010193,28.03,76.76,8.3234,19177,19.52
20160325_185829_1281_1,1,0,1,146,145,175.65,0.0,0.005693,5.52,15.98,0.6584,1517,27.13
20160325_185829_1281_1081,1,1,1,373,373,433.89,0.002305,0.002305,5.39,15.98,1.4149,3260,153.72
20160325_185829_1281_361,3,2,1,690,690,775.74,0.002578,0.003867,9.91,38.0,4.6528,10720,5.29
20160325_185829_1281_721,5,2,2,398,399,457.4,0.004373,0.010931,7.54,22.79,2.1068,4854,155.32
20160325_185829_1921_721,10,0,9,482,473,551.29,0.0,0.018139,12.96,40.76,3.6536,8418,27.83
20160325_185829_1_1,2,0,1,153,152,166.5,0.0,0.012012,4.54,9.99,0.5017,1156,5.54
20160325_185829_1_1081,5,3,1,662,669,762.61,0.003934,0.006556,5.44,17.58,2.5109,5785,19.99
20160325_185829_1_361,4,2,1,665,666,749.67,0.002668,0.005336,10.28,41.15,4.8928,11273,9.29
20160325_185829_641_1,7,1,4,347,345,390.56,0.00256,0.017923,4.78,13.18,1.1732,2703,8.65
20160325_185829_641_1081,6,2,2,622,622,707.74,0.002826,0.008478,7.69,26.0,3.6098,8317,169.7
20160325_185829_641_361,3,0,2,730,728,808.77,0.0,0.003709,6.69,22.4,3.2122,7401,170.42
20160326_141812_1281_721,4,0,2,281,279,323.32,0.0,0.012372,13.47,40.75,2.4744,5701,3.15
20160326_141812_1921_721,2,1,1,453,454,524.0,0.001908,0.003817,14.54,40.39,4.9735,11459,152.73
20160326_141812_1_1,5,3,1,713,717,792.8,0.003784,0.006307,19.72,67.59,10.329,23798,9.23
20160326_141812_641_1,2,0,1,239,238,267.41,0.0,0.007479,9.48,23.18,1.8694,4307,10.36
20160326_141812_641_361,1,0,1,100,99,121.37,0.0,0.008239,11.85,34.0,0.773,1781,39.52
20160326_141812_641_721,3,0,2,161,159,172.25,0.0,0.017416,7.38,19.58,0.7561,1742,9.6
20160326_142309_1281_361,4,3,2,484,485,552.93,0.005426,0.007234,12.51,39.58,4.0469,9324,165.13
20160326_142309_1281_721,4,3,1,412,415,469.26,0.006393,0.008524,16.31,56.33,3.9123,9014,1.11
20160326_142309_1921_361,9,8,1,748,756,855.0,0.009357,0.010526,12.67,52.73,5.4549,12568,9.03
20160326_142309_1921_721,2,1,1,143,144,162.23,0.006164,0.012329,14.16,37.56,1.3902,3203,18.48
20160326_142309_1_361,5,4,1,677,683,772.47,0.005178,0.006473,9.21,28.0,4.5156,10404,6.18
20160326_142309_641_361,3,0,2,125,123,130.46,0.0,0.022996,11.68,30.0,0.842,1940,0.85
20160326_142309_641_721,3,2,1,570,572,654.84,0.003054,0.004581,11.31,39.54,3.9414,9081,166.03
20160326_142327_1281_1,3,1,1,478,479,553.14,0.001808,0.005424,13.42,34.0,5.0608,11660,82.8
20160326_142327_1281_1081,7,2,4,487,493,562.59,0.003555,0.012443,6.65,20.0,2.2773,5247,146.45
20160326_142327_1281_361,8,5,2,642,647,721.56,0.006929,0.011087,7.97,28.0,3.4427,7932,104.48
20160326_142327_1281_721,2,2,1,493,495,555.89,0.003598,0.003598,8.98,37.56,2.819,6495,102.02
20160326_142327_1_1,2,0,1,364,363,413.95,0.0,0.004832,18.88,52.0,5.8607,13503,75.56
20160326_142327_1_1081,4,2,1,397,398,443.15,0.004513,0.009026,23.14,60.78,7.2687,16747,101.02
20160326_142327_1_361,4,4,1,405,412,457.98,0.008734,0.008734,18.9,54.36,5.5334,12749,98.19
20160326_142327_1_721,2,3,1,527,532,602.0,0.004983,0.003322,18.71,63.51,6.7769,15614,99.64
20160326_142327_641_721,3,1,1,49,48,55.46,0.018032,0.054097,16.07,38.0,0.7604,1752,178.78
20160326_142349_1281_1,1,0,1,155,154,167.25,0.0,0.005979,28.4,87.88,1.4401,3318,80.11
20160326_142349_1281_1081,3,1,1,392,391,448.58,0.002229,0.006688,22.45,71.12,7.5951,17499,91.91
20160326_142349_1281_361,2,1,1,363,363,403.59,0.002478,0.004955,28.16,99.94,5.8785,13544,90.85
20160326_142349_1281_721,1,0,1,122,121,134.67,0.0,0.007426,28.55,79.51,1.2053,2777,79.68
20160326_142349_641_1,3,1,1,361,361,404.91,0.00247,0.007409,32.19,114.8,7.862,18114,75.5
20160326_142349_641_361,3,2,2,274,275,301.1,0.006642,0.009964,16.86,45.54,1.6944,3904,95.86
20160326_142349_641_721,3,2,1,410,412,454.66,0.004399,0.006598,34.92,102.0,9.388,21630,82.63
20160326_142354_1281_1,6,3,2,430,432,486.26,0.00617,0.012339,19.17,49.15,6.3828,14706,102.5
20160326_142354_1281_1081,7,4,3,656,658,753.68,0.005307,0.009288,15.04,62.0,6.8056,15680,134.2
20160326_142354_1281_361,6,1,3,592,590,652.55,0.001532,0.009195,14.13,42.0,6.1766,14231,27.07
20160326_142354_1281_721,6,4,2,551,552,647.27,0.00618,0.00927,11.43,48.0,4.1884,9650,146.32
20160326_142354_641_1081,1,0,1,64,63,71.28,0.0,0.014028,29.99,75.54,1.0412,2399,84.95
20160326_142354_641_361,1,0,1,254,253,301.05,0.0,0.003322,8.82,24.38,1.6059,3700,117.31
20160326_142354_641_721,3,4,1,451,455,524.17,0.007631,0.005723,21.01,65.58,6.6706,15369,65.65
20160326_142403_1281_361,7,4,3,801,801,931.06,0.004296,0.007518,8.77,26.79,5.441,12536,23.8
20160326_142403_1281_721,4,5,4,734,736,859.85,0.005815,0.004652,14.76,43.54,8.5252,19642,159.75
20160326_142403_1921_361,5,2,2,232,233,277.32,0.007212,0.01803,7.76,20.39,1.4084,3245,0.24
20160326_142403_1921_721,4,1,2,675,674,725.78,0.001378,0.005511,13.27,38.0,7.1814,16546,173.97
20160326_142403_1_361,3,2,2,712,712,787.8,0.002539,0.003808,19.14,52.33,10.8472,24992,178.44
20160326_142403_641_361,7,3,4,704,706,814.11,0.003685,0.008598,15.37,47.54,8.898,20501,175.77
20160326_142403_641_721,6,6,2,372,386,455.17,0.013182,0.013182,9.1,25.98,2.526,5820,29.93
20160326_144512_1081_641,3,2,1,378,379,431.61,0.004634,0.006951,14.34,46.0,3.9032,8993,3.28
20160326_144512_1_1,4,3,1,435,438,496.82,0.006038,0.008051,11.67,33.56,3.8767,8932,176.3
20160326_144512_361_1,5,1,3,496,499,561.13,0.001782,0.008911,12.05,56.0,3.674,8465,5.68
20160326_144512_721_1,4,2,1,369,368,405.28,0.004935,0.00987,9.92,25.98,2.8811,6638,5.23
20160326_150104_1281_361,7,1,4,277,273,306.97,0.003258,0.022804,8.63,24.0,1.6771,3864,153.19
20160326_150104_1281_721,11,6,5,1310,1311,1462.6,0.004102,0.007521,15.8,52.73,13.6801,31519,5.02
20160326_150104_1921_361,2,0,1,99,98,108.36,0.0,0.018458,14.18,34.0,1.4097,3248,166.94
20160326_150104_1921_721,1,0,1,613,612,675.79,0.0,0.00148,21.03,60.76,11.3911,26245,173.27
20160326_150104_1_361,19,6,8,1371,1373,1479.04,0.004057,0.012846,12.22,48.0,9.6723,22285,16.11
20160326_150104_1_721,4,2,1,689,691,750.65,0.002664,0.005329,28.66,96.0,11.5022,26501,172.8
20160326_150104_641_361,10,2,5,853,848,907.65,0.002204,0.011018,18.67,68.0,8.0378,18519,3.11
20160326_150104_641_721,4,2,2,676,676,751.8,0.00266,0.005321,24.47,95.07,8.9874,20707,10.3
20160326_150319_1081_641,6,4,1,477,481,543.96,0.007353,0.01103,11.88,42.39,3.9987,9213,173.84
20160326_150319_1_641,3,4,3,443,450,508.82,0.007861,0.005896,15.94,47.94,4.9562,11419,174.17
20160326_150319_361_641,4,3,1,559,566,667.9,0.004492,0.005989,13.43,45.94,5.4297,12510,156.65
20160326_150319_721_641,4,3,1,392,394,434.18,0.00691,0.009213,15.42,42.0,4.638,10686,1.52
20160326_150337_1281_1,1,0,1,54,53,61.28,0.0,0.016317,10.56,24.0,0.4688,1080,0.51
20160326_150337_1281_361,8,6,1,781,789,908.71,0.006603,0.008804,17.33,51.95,10.3585,23866,175.99
20160326_150337_1921_1,8,7,3,893,909,1029.54,0.006799,0.00777,11.78,35.97,7.3173,16859,3.61
20160326_150337_1921_361,6,4,2,340,344,398.68,0.010033,0.01505,10.53,38.39,2.6354,6072,161.71
20160326_150337_1_361,2,2,1,655,656,722.69,0.002767,0.002767,11.33,34.39,5.5508,12789,173.71
20160326_150337_641_361,6,9,3,745,751,862.01,0.010441,0.00696,17.03,61.58,8.5616,19726,174.84
20160326_162529_1281_1081,3,1,2,115,113,120.04,0.00833,0.024991,12.38,30.0,0.5195,1197,179.9
20160326_162529_1281_721,8,11,2,1207,1221,1421.07,0.007741,0.00563,20.63,73.58,15.5616,35854,159.72
20160326_162529_1921_361,1,1,1,161,162,176.5,0.005666,0.005666,22.58,65.13,1.3737,3165,175.85
20160326_162529_1921_721,8,12,3,893,911,1045.21,0.011481,0.007654,20.99,60.73,11.0365,25428,0.36
20160326_162529_1_361,5,5,2,684,692,791.41,0.006318,0.006318,24.88,68.71,13.8038,31804,166.47
20160326_162529_641_1081,2,0,1,209,208,231.61,0.0,0.008635,10.35,31.58,1.1654,2685,163.18
20160326_162529_641_361,2,1,1,396,396,475.11,0.002105,0.00421,22.83,66.38,7.6076,17528,36.57
20160326_162529_641_721,7,12,3,1382,1414,1628.15,0.00737,0.004299,16.95,63.18,13.2452,30517,28.06
20160326_162532_1281_721,2,1,1,690,690,754.62,0.001325,0.00265,32.88,98.0,18.2478,42043,172.17
20160326_162532_1921_361,2,1,1,451,451,479.99,0.002083,0.004167,45.47,127.46,10.2496,23615,0.8
20160326_162532_1921_721,6,3,2,621,623,684.72,0.004381,0.008763,30.24,107.58,8.3416,19219,2.83
20160326_162532_1_721,5,3,1,672,677,749.9,0.004001,0.006668,23.28,74.0,12.8142,29524,165.22
20160326_162532_641_361,1,0,1,250,249,270.12,0.0,0.003702,21.33,61.56,2.9188,6725,3.49
20160326_162532_641_721,5,2,2,608,610,676.27,0.002957,0.007393,35.02,99.48,15.3798,35435,7.58
20160326_162538_1281_361,1,0,1,682,681,738.99,0.0,0.001353,33.38,104.0,10.5373,24278,173.87
20160326_162538_1281_721,1,0,1,538,537,565.58,0.0,0.001768,33.69,110.0,5.5951,12891,178.33
20160326_162538_1921_361,2,0,1,622,621,693.49,0.0,0.002884,22.6,62.0,11.8364,27271,167.95
20160326_162538_1_361,2,0,1,569,568,631.79,0.0,0.003166,18.03,50.0,9.0369,20821,8.09
20160326_162538_1_721,2,1,2,526,526,565.35,0.001769,0.003538,20.87,58.0,8.1202,18709,173.41
20160326_162538_641_721,6,4,1,777,779,904.92,0.00442,0.00663,36.4,136.63,21.283,49036,155.42
20160326_174634_1281_361,4,1,2,438,438,470.72,0.002124,0.008498,24.67,62.0,6.283,14476,178.32
20160326_174634_1281_721,2,1,2,527,527,571.32,0.00175,0.003501,21.67,62.0,6.6137,15238,0.46
20160326_174634_1921_361,1,0,1,125,124,132.7,0.0,0.007536,20.39,55.53,0.9371,2159,5.55
20160326_174634_1921_721,4,2,1,671,673,733.06,0.002728,0.005457,16.42,46.39,8.1011,18665,11.02
20160326_174634_1_1,3,1,1,73,73,85.01,0.011763,0.035289,14.44,39.16,0.6849,1578,76.77
20160326_174634_1_361,9,2,4,649,646,711.45,0.002811,0.01265,26.42,83.14,11.0295,25412,97.5
20160326_174634_1_721,5,3,1,620,625,701.63,0.004276,0.007126,20.41,74.76,8.0972,18656,176.5
20160326_174634_641_361,1,0,1,252,251,295.74,0.0,0.003381,20.23,48.76,4.3151,9942,28.53
20160326_174634_641_721,5,4,1,541,547,631.91,0.00633,0.007912,19.65,53.98,7.8329,18047,5.52
20160328_150820_1281_721,16,16,2,980,999,1150.19,0.013911,0.013911,22.22,78.36,13.4744,31045,3.55
20160328_150820_1921_361,4,1,2,448,447,502.09,0.001992,0.007967,20.49,53.59,5.2947,12199,159.13
20160328_150820_1921_721,9,7,1,955,961,1091.06,0.006416,0.008249,17.12,59.12,10.4358,24044,170.89
20160328_150820_1_361,12,11,3,918,929,1048.71,0.010489,0.011443,19.64,66.34,9.6719,22284,10.63
20160328_150820_1_721,4,2,2,444,446,496.95,0.004025,0.008049,22.36,70.33,5.6793,13085,2.85
20160328_150820_641_361,0,0,1,124,123,129.63,0.0,0.0,11.97,35.58,0.4883,1125,177.92
20160328_150820_641_721,5,5,1,745,749,852.55,0.005865,0.005865,17.44,62.79,8.8003,20276,6.19
20160328_150821_1281_361,4,3,1,745,748,829.19,0.003618,0.004824,20.26,73.53,10.4041,23971,6.92
20160328_150821_1281_721,0,0,2,178,176,180.97,0.0,0.0,12.22,26.0,0.6697,1543,179.29
20160328_150821_1921_361,3,2,1,407,408,436.58,0.004581,0.006872,22.6,73.18,4.9957,11510,2.49
20160328_150821_1921_721,9,8,3,818,825,914.47,0.008748,0.009842,17.57,56.0,7.865,18121,9.26
20160328_150821_1_361,8,5,2,860,866,963.75,0.005188,0.008301,16.99,53.59,10.4167,24000,166.25
20160328_150821_1_721,2,0,2,372,370,419.29,0.0,0.00477,16.38,39.59,4.1697,9607,158.03
